;Review
979;Wiltons on Jermyn Street is amazing! Sooo delicious & oh so British old school. The smoked salmon is to die for but everything is so fresh & delicous!
980;Fantastic food as always - champagne sauce like none other. Excellent comfortable service- this is bound to continue to be a cultural icon
981;Wiltons in Jermyn St London is an up to date yet traditional restaurant combining formality with beautiful food served impeccably
982;Wilton's in Jermyn St, London, is charming and consistent.  The staff are attentive and delightful, but unobtrusive.  The service is prompt.  The food is excellent.  I feel a warm glow of pleasure when I step inside the front door.  I love this place
983;ONE OF THE QUICKEST SERVICES I EVER HAVE HAD EVEN IF IT WAS ALL FISH. EXCELLENT FOOD
984;What a super lunch deal at Wiltons the TT £45 for 3 courses and wine, mineral water and even coffee is. Excellent venue with cracking service which under normal circumstances would be very expensive.
985;Amazing food and service!
986;Wiltons in Jermyn St. If you have never been before book it now it is a wonderful expirence.
987;Wiltons in Jer myn St was a joy. very comfortable surroundings, friendly, helpful staff and excellent food. What else could you want
988;Great service, quiet, elegant atmosphere and delicious food.
989;Splendid restaurant of the old school! Delicious food, excellent service and classically charming and elegant atmosphere without musk!
990;well prepared food and excellent service
991;Very old school and not easy on the wallet, however, service second to none and the food is delicious. We had seafood salad which was staggeringly good followed by a traditional Xmas meal, where the turkey was perfect.
992;Consistently good food and good service.  Will always go back.
993;Fantastic, 'old-school' dining experience at Wilton's (but in a good way).  This place is perfect for a special occasion.
994;Wiltons, Jermyn Street was again a wonderful experience. Always try to make this our regular Christmas venue. We had the Turner menu which didn't disappoint. Wonderful food and wine and a great atmosphere. A delightful evening which you wished would not end. Will definitely go again.
